Дата;Магазин;Город;Товар;Категория;Количество. кг;Стоимость. руб.
26.09.2012;Провиант;Владимир;Томаты;Овощи;8.5;680
14.02.2015;Сельпо;Ковров;Яблоки;Фрукты;1.1;75.9
06.02.2011;Полтинник;Гусь-Хрустальный;Картофель;Овощи;10.3;360.5
03.04.2010;Авоська;Владимир;Яблоки;Фрукты;3.4;234.6
21.12.2011;Копеечка;Ковров;Апельсины;Фрукты;19.4;1241.6
07.06.2010;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;10.3;1359.6
29.01.2014;Алтын;Ковров;Томаты;Овощи;5.6;448
18.07.2013;Авоська;Владимир;Виноград;Фрукты;15.7;1931.1
02.11.2011;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;12.6;1008
31.10.2014;Копеечка;Ковров;Баклажаны;Овощи;10;1320
25.11.2013;Росвкус;Владимир;Томаты;Овощи;18.2;1456
16.10.2010;Копеечка;Ковров;Яблоки;Фрукты;12.6;869.4
08.04.2010;Алтын;Ковров;Огурцы;Овощи;17.9;877.1
02.12.2014;Алтын;Ковров;Апельсины;Фрукты;13.3;851.2
01.06.2012;Росвкус;Владимир;Баклажаны;Овощи;2.1;277.2
07.07.2014;Авоська;Владимир;Капуста;Овощи;4.6;124.2
29.08.2010;Алтын;Ковров;Виноград;Фрукты;8.1;996.3
23.10.2014;Полтинник;Гусь-Хрустальный;Картофель;Овощи;17.4;609
04.04.2012;Росвкус;Владимир;Яблоки;Фрукты;1.1;75.9
24.04.2014;Деревенский;Гусь-Хрустальный;Картофель;Овощи;1.4;49
06.09.2012;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;10.7;684.8
20.08.2011;Полтинник;Гусь-Хрустальный;Огурцы;Овощи;16.5;808.5
01.12.2013;Деревенский;Гусь-Хрустальный;Картофель;Овощи;8.5;297.5
20.10.2013;Сельпо;Ковров;Огурцы;Овощи;15;735
01.11.2014;Алтын;Ковров;Бананы;Фрукты;13.1;733.6
24.10.2012;Росвкус;Владимир;Капуста;Овощи;2.4;64.8
06.03.2011;Сельпо;Ковров;Огурцы;Овощи;4.5;220.5
31.10.2012;Провиант;Владимир;Бананы;Фрукты;2.7;151.2
10.08.2012;Алтын;Ковров;Томаты;Овощи;8;640
25.07.2011;Сельпо;Ковров;Огурцы;Овощи;6;294
18.07.2014;Копеечка;Ковров;Апельсины;Фрукты;9.2;588.8
06.03.2013;Сельпо;Ковров;Бананы;Фрукты;17.6;985.6
05.02.2014;Алтын;Ковров;Виноград;Фрукты;3.2;393.6
23.02.2015;Авоська;Владимир;Апельсины;Фрукты;4;256
12.03.2014;Росвкус;Владимир;Капуста;Овощи;5.9;159.3
30.07.2011;Росвкус;Владимир;Томаты;Овощи;16.5;1320
15.07.2011;Деревенский;Гусь-Хрустальный;Томаты;Овощи;15.4;1232
06.09.2013;Авоська;Владимир;Бананы;Фрукты;8.2;459.2
11.09.2012;Сельпо;Ковров;Бананы;Фрукты;16.2;907.2
11.02.2015;Первый продуктовый;Гусь-Хрустальный;Апельсины;Фрукты;5.9;377.6
25.09.2013;Полтинник;Гусь-Хрустальный;Груши;Фрукты;7.3;569.4
15.08.2013;Авоська;Владимир;Огурцы;Овощи;12.1;592.9
16.11.2014;Авоська;Владимир;Бананы;Фрукты;4.9;274.4
16.07.2010;Деревенский;Гусь-Хрустальный;Картофель;Овощи;17.8;623
26.01.2011;Сельпо;Ковров;Яблоки;Фрукты;10.1;696.9
24.09.2012;Копеечка;Ковров;Яблоки;Фрукты;6.4;441.6
12.01.2015;Росвкус;Владимир;Груши;Фрукты;6.6;514.8
14.03.2015;Провиант;Владимир;Бананы;Фрукты;12.2;683.2
28.12.2011;Полтинник;Гусь-Хрустальный;Огурцы;Овощи;12.3;602.7
03.05.2010;Росвкус;Владимир;Виноград;Фрукты;3.7;455.1
28.10.2011;Деревенский;Гусь-Хрустальный;Томаты;Овощи;7.5;600
28.03.2010;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;12.2;780.8
22.01.2013;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;18.4;1472
31.08.2010;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;17.7;619.5
05.10.2013;Копеечка;Ковров;Баклажаны;Овощи;0.8;105.6
06.09.2014;Провиант;Владимир;Яблоки;Фрукты;15.2;1048.8
05.07.2014;Алтын;Ковров;Капуста;Овощи;17.6;475.2
16.01.2014;Росвкус;Владимир;Огурцы;Овощи;11.7;573.3
27.11.2010;Алтын;Ковров;Апельсины;Фрукты;4.3;275.2
29.11.2010;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;16.7;2204.4
03.05.2011;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;7.6;524.4
19.11.2014;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;17.6;1372.8
20.02.2010;Полтинник;Гусь-Хрустальный;Груши;Фрукты;16.8;1310.4
06.12.2013;Первый продуктовый;Гусь-Хрустальный;Бананы;Фрукты;16.6;929.6
26.03.2011;Провиант;Владимир;Бананы;Фрукты;12.1;677.6
10.07.2013;Алтын;Ковров;Картофель;Овощи;15.8;553
30.09.2014;Алтын;Ковров;Яблоки;Фрукты;12.2;841.8
03.01.2014;Первый продуктовый;Гусь-Хрустальный;Виноград;Фрукты;15.7;1931.1
16.04.2010;Провиант;Владимир;Груши;Фрукты;10;780
05.09.2010;Алтын;Ковров;Яблоки;Фрукты;1.4;96.6
16.09.2011;Первый продуктовый;Гусь-Хрустальный;Яблоки;Фрукты;17.8;1228.2
03.10.2013;Алтын;Ковров;Апельсины;Фрукты;17.2;1100.8
08.05.2013;Полтинник;Гусь-Хрустальный;Томаты;Овощи;14.7;1176
07.10.2014;Сельпо;Ковров;Яблоки;Фрукты;5.7;393.3
